,id,name,score
0,180228,Elvis Presley,719.0260187294936
1,933898,Ashanti,2.0
2,294923,Judy Collins,144.18755230689487
3,147468,Clay Aiken,0.0
4,753685,Soft Machine,79.94720715813854
5,49180,Betty Harris,21.275394165865634
6,2048033,Sleigh Bells,0.0
7,3145761,FKA twigs,0.0
8,852007,Roy Orbison,71.92453717653996
9,180263,Flamin' Groovies,0.0
10,393257,Newsboys,2.2662969061336526
11,278575,Hoyt Axton,142.71033031731793
12,327735,REO Speedwagon,13.866050154460172
13,376888,Nappy Brown,0.0
14,16448,AmÃ¡lia Rodrigues,17.825543300469
15,409670,Melanie,22.323008877000213
16,540742,Basshunter,0.0
17,606283,Al Jarreau,31.735478145079586
18,753742,Sia,0.0
19,65620,"Bobby ""Boris"" Pickett",0.0
20,327765,John Barry,121.70929139928091
21,82013,The Impressions,219.71017393103344
22,3276902,Shawn Mendes,0.0
23,868456,Melba Montgomery,4.568050833375483
24,131178,James Burton,76.23348338396744
25,262255,Mariah Carey,75.21874074190085
26,278644,Howard Shore,0.0
27,393345,Oasis,2.0
28,557191,Hot Chip,0.0
29,819344,Desmond Dekker,60.62709463513972
30,3391646,Cheat Codes,0.0
31,98465,Iron Maiden,21.899535364043746
32,753833,Son Volt,2.2662969061336526
33,213165,Jan & Dean,43.59778143680192
34,147635,Carly Simon,46.88235515403513
35,934069,Brenda Lee,76.24032654541563
36,147638,Edgar Froese,5.136101666750966
37,786613,Dead Kennedys,4.532593812267305
38,655547,GWAR,0.0
39,16574,Alpha,2.2662969061336526
40,803009,Cat Power,0.0
41,32971,The Beautiful South,0.0
42,753868,Sigur RÃ³s,2.2662969061336526
43,671953,Heart,16.201289291285576
44,344275,Mel TormÃ©,122.77240858013558
45,622805,Stevie Wonder,382.74518766389997
46,164053,Faith Evans,4.532593812267305
47,49367,The Blackbyrds,2.0
48,213212,Janis Ian,34.65623631652057
49,49374,Simple Minds,0.0
50,180449,Freddie Jackson,8.532593812267304
51,475362,Arthur Russell,36.887076201546044
52,884962,Regina Belle,2.2662969061336526
53,245992,Johnny Smith,11.36694155177644
54,524522,Joan Osborne,28.662969061336522
55,164093,Tammi Terrell,0.0
56,246022,Merle Travis,163.57289686890044
57,672011,Hawkwind,0.0
58,688400,Willis Alan Ramsey,2.9099828292364025
59,246032,Devendra Banhart,0.0
60,475431,Stray Cats,0.0
61,753963,The Association,4.976356582938671
62,950571,Harry James,215.77340485627352
63,835894,Lowell George,0.0
64,147771,Cutty Ranks,11.100644645642788
65,753985,Steve Lawrence,56.24761937264927
66,328014,Peter Tosh,59.6366753826283
67,335,PJ Harvey,0.0
68,65882,Bob James,14.276924381012844
69,1016154,"Pete ""El Conde"" RodrÃ­guez",2.2662969061336526
70,803162,Grady Tate,3.6756730855710797
71,524634,The Bucketheads,0.0
72,409954,Ray Price,55.50017809852699
73,196969,John Martyn,114.44021257314262
74,295274,Los Lonely Boys,0.0
75,295276,Jimmy Cliff,173.71874918536415
76,246127,Les Nubians,0.0
77,754032,The Beatles,1682.0009339799265
78,409968,Reba McEntire,5.819965658472805
79,196976,Gretchen Wilson,0.0
80,295285,Lisa Gerrard,0.0
81,475511,The Subdudes,0.0
82,311674,Vanilla Fudge,0.0
83,98688,Jack Ingram,0.0
84,311680,Luis Miguel,0.0
85,33161,Sly & the Family Stone,464.90834539893274
86,246169,Whiskeytown,2.2662969061336526
87,934305,Brad Mehldau,0.0
88,639397,Caetano Veloso,45.18849369311205
89,197040,Champion Jack Dupree,200.69786954984207
90,836017,Scott Nygaard,0.0
91,852405,Rotary Connection,0.0
92,590265,Annie Ross,102.19681530059032
93,441,P.O.D.,0.0
94,16835,The Paul Butterfield Blues Band,7.478033662611885
95,115140,Commander Cody and His Lost Planet Airmen,0.0
96,541125,Gerry & the Pacemakers,0.0
97,590285,Billy Preston,30.551580099837054
98,934350,Tom Scott,0.0
99,491996,A.C. Reed,41.24703891615202
100,3178979,SoMo,0.0
101,2802154,Alabama Shakes,0.0
102,3539434,Colter Wall,0.0
103,360948,Rupee,0.0
104,1950198,Bidu SayÃ£o,19.03563703079471
105,131581,"Crosby, Stills & Nash",24.92651673148387
106,98819,Labi Siffre,8.798890718400957
107,492037,The Proclaimers,0.0
108,721416,Paris Hilton,0.0
109,672269,Mandy Patinkin,0.0
110,131603,Squirrel Nut Zippers,0.0
111,2507287,The Wanted,2.0
112,573978,Marcia Griffiths,25.49928861237027
113,508443,Air Supply,2.9099828292364025
114,3670556,Trinidad Cardona,0.0
115,344609,Jesus Jones,0.0
116,148004,Dirty Projectors,0.0
117,131624,Larry Levan,48.383655463710454
118,754219,Anthony Newley,40.140258191158146
119,131627,Creedence Clearwater Revival,0.0
120,16944,Alpha Blondy,2.0
121,885298,ReneÃ© Olstead,0.0
122,213561,David Guetta,0.0
123,393789,Restless Heart,0.0
124,131650,Talking Heads,41.50991608724945
125,426564,Ozomatli,1.6789140415384147
126,770629,Illinois Jacquet,71.55186920708178
127,754251,Suzanne Vega,12.21150785380572
128,589,Tony Furtado,0.0
129,574035,St. Vincent,0.0
