,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,label
4,66915,0.512597985,0.477932051,0.5519337,0.6104129538416876,-0.4473731868,1,0.6363636363636364,0.562566789,0.03421143,0.308977656,0.06453489,0.15653257335365853,0
38,927555,0.551486175,0.431235023,0.573806912,0.575450349816141,-0.430312166,1,0.0,0.604369677,0.00593847,0.259547696,0.060275576,0.13273619902439024,1
47,84209,0.501890052,0.8572722509999999,0.55270733,0.6273867234371975,-0.27977298428,1,0.09090909090909091,0.170690924,0.073508203,0.34029738200000004,0.081953927,0.1382075181707317,0
54,467203,0.7097158179999999,0.6932241290000001,0.6253930289999999,0.5713709425198376,-0.28844482571999996,1,1.0,0.25530043399999997,0.045984616,0.196164879,0.06931045599999999,0.16204303274390244,1
58,781423,0.469152439,0.19061097600000002,0.278113415,0.5001938310431585,-0.7877165852,0,0.0,0.8666768290000001,0.692688766,0.235028049,0.040917682999999996,0.1966197724390244,2
60,414251,0.630033951,0.396172531,0.6259586420000001,0.6233064263595898,-0.453151852,1,0.8181818181818182,0.44230364200000005,0.01453375,0.20365648100000003,0.056233642,0.10747622890243903,1
73,94210,0.496606557,0.188885279,0.388791475,0.546784734371976,-0.6322316064,1,0.0,0.901665574,0.44473958399999997,0.15347508199999998,0.045597377,0.14806629548780487,2
78,1589051,0.70057,0.549739333,0.6248819999999999,0.5827081154441648,-0.48901733319999996,1,0.09090909090909091,0.19907555300000002,0.06265851900000001,0.22193800000000002,0.074522333,0.18566545121951222,1
83,742899,0.50130662,0.23728153300000002,0.5236303139999999,0.5482526137023418,-0.6678221604,1,0.45454545454545453,0.87787108,0.313541324,0.163593031,0.047589547,0.1864459717682927,2
106,811622,0.454088,0.3067312,0.501316,0.555655119024579,-0.53560016,1,0.6363636363636364,0.6837224000000001,0.00754684,0.23996839999999997,0.05350800000000001,0.1276039756097561,0
110,2674162,0.5748081629999999,0.6078734689999999,0.305189388,0.605405753822334,-0.28923412244,0,0.0,0.271439469,0.010594388,0.201727755,0.08681142900000001,0.16682579146341464,1
112,246611,0.379957851,0.832305785,0.349302479,0.6260771632475324,-0.23926942148000002,1,0.8181818181818182,0.035163908,0.048618117,0.315429752,0.080131405,0.16033682725609755,0
145,569685,0.5959348839999999,0.551949767,0.7318651159999999,0.5740351335397716,-0.40645432560000005,1,0.0,0.42869907,0.020458421,0.17908,0.043233953,0.1346441037804878,1
273,192382,0.45467123299999995,0.66569863,0.553813699,0.6019479519063285,-0.41856328759999994,1,0.8181818181818182,0.084764933,0.180022853,0.184389041,0.047750685,0.1970517875,0
321,70715,0.49757364299999995,0.367049147,0.559651163,0.5603749496806657,-0.4867320932,1,0.45454545454545453,0.712930233,0.0029512159999999996,0.19631938,0.053896899000000005,0.09725713274390244,0
325,789775,0.49772868200000003,0.39916124,0.556262016,0.5870883051093478,-0.4953293024,1,0.0,0.771573643,0.233505226,0.323686047,0.069648062,0.2048137975,2
