,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms
27,175553,0.46008102799999995,0.356163241,0.43265612600000003,116.36476880000001,-13.19754348,1,0.0,0.681216522,0.1455987,0.177910277,0.053308102999999996,431693.1897
52,317093,0.43465252,0.285111671,0.43386551700000003,108.24238989999999,-13.58807427,1,0.0,0.78894695,0.077701568,0.178209019,0.05117374,164644.1565
87,74005,0.48423214299999995,0.22604196399999998,0.356796071,103.7140321,-17.88647857,1,0.0,0.879192857,0.63469645,0.1352225,0.0430875,310919.1286
95,163229,0.49255303,0.56544697,0.532084848,122.037053,-9.983310606,1,9.0,0.450906288,0.06431968,0.265526515,0.040286364,247267.5
122,266063,0.6608510639999999,0.640302128,0.48637446799999995,116.2677149,-5.966251064,0,1.0,0.101892438,7.829999999999999e-05,0.17256383,0.130031489,232704.4298
138,142767,0.570415525,0.27113242,0.532666667,117.67352050000001,-16.47644292,0,5.0,0.7857470320000001,0.371065711,0.235538813,0.045250685,337675.2831
151,761179,0.580650943,0.596632075,0.46019669799999996,124.06653770000001,-7.239061321,1,1.0,0.201047075,0.009554293,0.20990801899999997,0.156194811,248368.4858
158,128099,0.715538835,0.575140777,0.7181310679999999,111.606301,-9.943849515,1,0.0,0.397507767,0.08310238,0.215480583,0.111401456,278525.6699
173,248392,0.553686869,0.30680585899999996,0.584666667,118.2245808,-17.24870707,0,0.0,0.8300858590000001,0.443500939,0.25069596,0.044814646,298052.3081
207,144458,0.627808989,0.631876404,0.7139775279999999,113.89270790000002,-9.025674157000001,0,1.0,0.34312471899999997,0.09316106699999999,0.18757752800000002,0.09830674199999999,279957.6404
225,424302,0.511891566,0.42058554200000003,0.464631325,111.2098675,-10.537,1,5.0,0.725036145,0.045943225,0.19544819300000002,0.049359035999999995,372874.4337
230,610706,0.49521951200000003,0.408836585,0.5255609760000001,122.30680490000002,-13.59512195,1,7.0,0.510562195,0.015232997,0.148123171,0.035369512,187115.3902
257,127369,0.590065789,0.181911842,0.42417894700000003,103.8165921,-18.89610526,1,0.0,0.8407539470000001,0.811226316,0.2451,0.044946053,240780.3816
263,894335,0.4072,0.30428,0.40165333299999995,96.06210667,-11.54213333,1,3.0,0.85456,0.0008767339999999999,0.180350667,0.031768,161032.1867
317,505047,0.610847328,0.32781679399999997,0.647816794,123.0863893,-13.86477863,0,5.0,0.62921374,0.161744043,0.152171756,0.070391603,264358.1298
324,376204,0.654178295,0.62855814,0.5981937979999999,109.963,-7.403534884,0,11.0,0.201313589,0.013543038,0.176493798,0.120082946,278618.9767
367,777210,0.69725,0.54425,0.73007,110.95605,-12.81015,1,11.0,0.220848,0.12471278,0.12769,0.062181667,275879.15
414,165011,0.567385321,0.404985321,0.531115596,116.10102749999999,-11.52942202,1,0.0,0.614710092,0.000107701,0.21955045899999998,0.041212844,205930.1009
417,628467,0.728706422,0.762623853,0.7217431190000001,114.95608259999999,-4.966724771,1,5.0,0.15651900900000001,0.003121384,0.222036697,0.065950459,223534.9358
434,187581,0.514638095,0.76207619,0.6206857139999999,113.51872379999999,-8.413838095,1,2.0,0.19608403800000002,0.11218228300000001,0.20919142899999998,0.08205142900000001,298651.4571
435,201760,0.64127619,0.47794285700000005,0.646857143,109.08977140000002,-12.77061905,1,0.0,0.517819048,0.267479364,0.139990476,0.048068571,293502.3048
487,158309,0.5957083329999999,0.6110625,0.654416667,129.3462083,-11.1476875,1,4.0,0.141979375,0.009725519,0.163866667,0.042702082999999995,238324.9375
499,816387,0.573904255,0.465604255,0.682089362,117.18305320000002,-13.204638300000001,1,5.0,0.476859574,0.025576147999999996,0.21741914899999998,0.04021383,217479.5106
503,68934,0.47808602200000005,0.403133333,0.298229032,118.3699355,-11.39906452,1,7.0,0.275361656,0.270834904,0.127210753,0.039695699,280026.5161
507,768321,0.5880967739999999,0.763709677,0.584483871,123.92702150000001,-7.273580645,1,9.0,0.043285871,0.125981824,0.19914838699999998,0.045641935,214415.129
519,35021,0.515888889,0.501355556,0.738622222,120.63146670000002,-10.76817778,1,2.0,0.433506667,7.93e-06,0.198251111,0.033402222,175573.3556
536,159214,0.483454545,0.569136364,0.645545455,114.1485909,-8.95875,1,5.0,0.467460682,0.000574941,0.192931818,0.039061364,179633.6364
548,3085111,0.605896552,0.46604597700000006,0.250206897,112.69862069999999,-9.136678161,1,1.0,0.35543954,0.045265781,0.141524138,0.073163218,220959.02300000002
562,44290,0.545388235,0.3824,0.575282353,123.50755290000001,-12.06549412,0,7.0,0.611717647,0.09584682,0.15039058800000002,0.047150588,359256.5882
567,950571,0.45572941200000006,0.23991882399999997,0.466437647,109.84202350000001,-12.94051765,1,10.0,0.9250352940000001,0.37204673,0.279851765,0.053012940999999994,179393.4118
576,664817,0.643761905,0.607880952,0.6308452379999999,118.14378570000001,-9.599214286,1,5.0,0.351454286,0.004842796,0.121613095,0.044409524000000006,247405.5714
605,164594,0.54725,0.429525,0.705175,125.832425,-11.72185,1,0.0,0.617925,0.001653323,0.222985,0.040122500000000005,155058.1
626,745915,0.46856410299999995,0.423717949,0.551333333,112.0097308,-10.78351282,1,7.0,0.64025641,0.000592614,0.274684615,0.046165385,180583.3974
653,5307,0.557973333,0.5708133329999999,0.43770666700000005,113.809,-7.058173332999999,1,4.0,0.379597333,0.007126781,0.169730667,0.10803466699999999,250148.52
717,596451,0.7692571429999999,0.6572571429999999,0.748457143,109.98182859999999,-10.44037143,1,0.0,0.259562857,0.032407415,0.201877143,0.089574286,311912.1429
724,642664,0.564898551,0.134742029,0.465249275,111.3952174,-20.39410145,1,8.0,0.9566376809999999,0.650151515,0.119982609,0.040724638,175544.3043
